напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.000000
количество точек фаза 1	200
количество точек фаза 2	200
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	17

номер точки	напряжение, В 	ток, А
900	-1.280411	-0.000136
901	-1.294297	-0.000122
902	-1.282907	-0.000115
903	-1.269424	-0.000115
904	-1.257230	-0.000112
905	-1.242941	-0.000112
906	-1.229780	-0.000128
907	-1.217102	-0.000123
908	-1.202572	-0.000165
909	-1.191183	-0.000117
910	-1.179310	-0.000108
911	-1.165344	-0.000115
912	-1.152666	-0.000111
913	-1.140391	-0.000105
914	-1.126585	-0.000118
915	-1.114391	-0.000094
916	-1.100666	-0.000112
917	-1.087827	-0.000106
918	-1.074907	-0.000107
919	-1.062149	-0.000105
920	-1.048827	-0.000100
921	-1.035827	-0.000111
922	-1.023471	-0.000102
923	-1.009988	-0.000101
924	-0.997391	-0.000093
925	-0.984552	-0.000094
926	-0.971632	-0.000086
927	-0.958954	-0.000088
928	-0.945874	-0.000088
929	-0.933115	-0.000086
930	-0.920598	-0.000085
931	-0.907196	-0.000083
932	-0.894598	-0.000082
933	-0.881196	-0.000080
934	-0.868921	-0.000076
935	-0.856565	-0.000077
936	-0.843484	-0.000067
937	-0.830484	-0.000070
938	-0.817887	-0.000063
939	-0.804162	-0.000062
940	-0.791887	-0.000070
941	-0.778806	-0.000060
942	-0.765484	-0.000065
943	-0.753531	-0.000053
944	-0.740531	-0.000056
945	-0.727128	-0.000051
946	-0.714531	-0.000050
947	-0.701128	-0.000049
948	-0.688370	-0.000047
949	-0.675773	-0.000046
950	-0.662853	-0.000044
951	-0.649773	-0.000043
952	-0.637578	-0.000043
953	-0.623853	-0.000040
954	-0.611175	-0.000041
955	-0.598417	-0.000037
956	-0.585497	-0.000037
957	-0.572497	-0.000035
958	-0.559819	-0.000035
959	-0.546739	-0.000033
960	-0.533900	-0.000032
961	-0.520980	-0.000031
962	-0.507980	-0.000030
963	-0.494980	-0.000029
964	-0.482544	-0.000028
965	-0.469142	-0.000027
966	-0.456464	-0.000027
967	-0.443544	-0.000025
968	-0.430383	-0.000025
969	-0.417222	-0.000025
970	-0.404947	-0.000024
971	-0.391061	-0.000024
972	-0.378947	-0.000021
973	-0.366027	-0.000021
974	-0.352464	-0.000020
975	-0.339544	-0.000020
976	-0.327027	-0.000018
977	-0.313786	-0.000016
978	-0.301027	-0.000017
979	-0.287947	-0.000016
980	-0.275188	-0.000015
