напляжение фаза 1, В	-1.400000
напляжение фаза 2, В	1.100000
количество точек фаза 1	100
количество точек фаза 2	100
длительность импульсов, us	25000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	18

номер точки	напряжение, В 	ток, А
673	-0.782887	-0.000057
674	-0.755289	-0.000053
675	-0.727773	-0.000048
676	-0.699773	-0.000044
677	-0.671531	-0.000045
678	-0.643773	-0.000045
679	-0.616014	-0.000043
680	-0.589383	-0.000028
681	-0.561383	-0.000026
682	-0.533222	-0.000021
683	-0.505383	-0.000020
684	-0.477625	-0.000019
685	-0.449544	-0.000018
686	-0.421786	-0.000016
687	-0.393866	-0.000016
688	-0.365786	-0.000014
689	-0.337866	-0.000014
690	-0.309705	-0.000015
691	-0.282269	-0.000012
692	-0.254027	-0.000012
693	-0.226349	-0.000010
694	-0.198108	-0.000011
695	-0.170108	-0.000010
696	-0.142269	-0.000010
697	-0.114430	-0.000008
698	-0.086349	-0.000007
699	-0.058994	-0.000006
700	-0.030671	-0.000006
701	-0.002349	-0.000004
702	0.019329	-0.000004
703	0.041248	-0.000003
704	0.063006	-0.000002
705	0.085087	-0.000002
706	0.107087	-0.000001
707	0.129329	-0.000001
708	0.151167	-0.000000
709	0.173006	0.000000
710	0.194845	0.000001
711	0.216604	0.000001
712	0.238523	0.000006
713	0.260684	0.000007
714	0.282523	0.000009
715	0.304362	0.000009
716	0.326201	0.000010
717	0.348040	0.000011
718	0.370040	0.000012
719	0.391960	0.000014
720	0.413315	0.000022
721	0.435799	0.000018
722	0.457638	0.000020
723	0.479315	0.000021
724	0.500188	0.000036
725	0.522349	0.000034
726	0.544671	0.000032
727	0.566027	0.000034
728	0.587785	0.000039
729	0.609383	0.000043
730	0.629209	0.000070
731	0.649518	0.000090
732	0.669585	0.000109
733	0.692310	0.000102
734	0.713344	0.000110
735	0.733894	0.000127
736	0.754123	0.000148
737	0.771291	0.000182
738	0.787413	0.000223
739	0.804259	0.000260
740	0.816919	0.000302
741	0.832638	0.000329
742	0.840868	0.000368
743	0.849582	0.000392
744	0.854108	0.000411
745	0.852756	0.000420
746	0.859617	0.000422
747	0.863419	0.000423
748	0.870603	0.000424
749	0.864500	0.000424
750	0.868221	0.000424
751	0.872022	0.000424
752	0.867979	0.000424
753	0.861440	0.000424
754	0.845801	0.000424
755	0.847314	0.000424
756	0.840050	0.000423
757	0.827793	0.000423
758	0.819563	0.000422
759	0.809320	0.000420
760	0.799479	0.000416
761	0.786739	0.000410
762	0.770456	0.000405
763	0.756992	0.000398
764	0.740306	0.000390
765	0.723460	0.000380
766	0.707258	0.000372
767	0.689364	0.000361
768	0.671149	0.000351
769	0.653578	0.000339
770	0.633993	0.000329
771	0.615134	0.000318
772	0.596033	0.000308
773	0.576690	0.000296
774	0.556462	0.000286
775	0.537119	0.000276
776	0.516971	0.000264
777	0.497226	0.000254
778	0.476756	0.000245
779	0.456769	0.000232
780	0.436057	0.000222
781	0.415990	0.000213
782	0.395036	0.000200
783	0.374647	0.000190
784	0.354338	0.000179
785	0.333465	0.000168
786	0.312673	0.000156
787	0.291881	0.000147
788	0.270686	0.000136
789	0.250458	0.000124
790	0.229344	0.000113
791	0.208712	0.000104
792	0.187437	0.000092
793	0.166323	0.000081
794	0.145209	0.000070
795	0.124336	0.000060
796	0.103302	0.000048
797	0.082510	0.000038
798	0.061154	0.000027
799	0.040040	0.000015
800	0.018845	0.000005
801	-0.002671	-0.000007
802	-0.029222	-0.000020
803	-0.056336	-0.000034
804	-0.083370	-0.000047
805	-0.110565	-0.000061
806	-0.137760	-0.000076
807	-0.164874	-0.000091
808	-0.191505	-0.000102
809	-0.218700	-0.000118
810	-0.246055	-0.000133
811	-0.273331	-0.000147
812	-0.300203	-0.000161
813	-0.327720	-0.000174
814	-0.354593	-0.000190
815	-0.381788	-0.000204
816	-0.409063	-0.000220
817	-0.436419	-0.000235
818	-0.463613	-0.000249
819	-0.490969	-0.000264
820	-0.518164	-0.000279
821	-0.545439	-0.000296
822	-0.572876	-0.000309
823	-0.600151	-0.000325
824	-0.627507	-0.000337
825	-0.654943	-0.000354
826	-0.682379	-0.000368
827	-0.710299	-0.000372
828	-0.738299	-0.000375
829	-0.765896	-0.000382
830	-0.793735	-0.000389
831	-0.821333	-0.000399
832	-0.848527	-0.000410
833	-0.876527	-0.000417
834	-0.904044	-0.000427
835	-0.931722	-0.000434
836	-0.959883	-0.000434
837	-0.987642	-0.000450
838	-1.014595	-0.000470
839	-1.042112	-0.000477
840	-1.069065	-0.000498
841	-1.100366	-0.000419
842	-1.129977	-0.000356
843	-1.170297	-0.000141
844	-1.197250	-0.000155
845	-1.227585	-0.000106
846	-1.256149	-0.000109
847	-1.283344	-0.000115
848	-1.308848	-0.000144
849	-1.337894	-0.000148
850	-1.365009	-0.000158
851	-1.393653	-0.000148
852	-1.365653	-0.000137
853	-1.337894	-0.000129
854	-1.311424	-0.000124
855	-1.283666	-0.000112
856	-1.255907	-0.000113
857	-1.228632	-0.000095
858	-1.201035	-0.000096
859	-1.172632	-0.000099
860	-1.145276	-0.000090
861	-1.117437	-0.000076
862	-1.089840	-0.000076
863	-1.061760	-0.000070
864	-1.034243	-0.000066
865	-1.006565	-0.000061
866	-0.978726	-0.000060
867	-0.950726	-0.000058
868	-0.922243	-0.000065
869	-0.894806	-0.000060
870	-0.866645	-0.000062
871	-0.838967	-0.000057
872	-0.811289	-0.000050
873	-0.783531	-0.000049
874	-0.755853	-0.000046
875	-0.728095	-0.000041
876	-0.700256	-0.000039
877	-0.672417	-0.000036
878	-0.644497	-0.000034
879	-0.617142	-0.000032
880	-0.588819	-0.000030
881	-0.560819	-0.000029
882	-0.533142	-0.000027
883	-0.505222	-0.000025
884	-0.477142	-0.000023
885	-0.449464	-0.000022
886	-0.421303	-0.000021
887	-0.393544	-0.000019
888	-0.365464	-0.000018
889	-0.337786	-0.000017
890	-0.309705	-0.000015
891	-0.281786	-0.000014
892	-0.253947	-0.000013
893	-0.225947	-0.000012
894	-0.198188	-0.000010
895	-0.170349	-0.000009
896	-0.142269	-0.000007
897	-0.114349	-0.000007
898	-0.086591	-0.000006
899	-0.058269	-0.000005
900	-0.030591	-0.000005
901	-0.002510	-0.000004
902	0.019329	-0.000004
903	0.041248	-0.000003
904	0.063329	-0.000003
905	0.085087	-0.000002
906	0.107167	-0.000002
907	0.129087	-0.000001
908	0.151167	-0.000001
909	0.173167	-0.000000
910	0.194926	-0.000000
911	0.217329	0.000000
912	0.239006	0.000002
913	0.260926	0.000004
914	0.282765	0.000004
915	0.304765	0.000005
916	0.326523	0.000006
917	0.348362	0.000011
918	0.370523	0.000009
919	0.392282	0.000010
920	0.414282	0.000012
921	0.435718	0.000014
922	0.457879	0.000016
923	0.479879	0.000018
924	0.501879	0.000020
925	0.522752	0.000030
926	0.544832	0.000029
927	0.566510	0.000030
928	0.588591	0.000033
929	0.609947	0.000038
930	0.632027	0.000037
931	0.654349	0.000036
932	0.675624	0.000050
933	0.698269	0.000031
934	0.720108	0.000040
935	0.742510	0.000041
936	0.763785	0.000043
937	0.783611	0.000066
938	0.804162	0.000083
939	0.821733	0.000125
940	0.829883	0.000244
941	0.841012	0.000302
942	0.836520	0.000375
943	0.848857	0.000393
944	0.854511	0.000408
945	0.855333	0.000418
946	0.862597	0.000422
947	0.854239	0.000423
948	0.864241	0.000424
949	0.863694	0.000424
950	0.871200	0.000424
951	0.875968	0.000424
952	0.873052	0.000424
953	0.862970	0.000424
954	0.853209	0.000424
955	0.851421	0.000424
956	0.840855	0.000423
957	0.831900	0.000423
958	0.825844	0.000421
959	0.815600	0.000417
960	0.804874	0.000413
961	0.789074	0.000408
962	0.778106	0.000400
963	0.759327	0.000394
964	0.744574	0.000383
965	0.727647	0.000374
966	0.710156	0.000364
967	0.691861	0.000356
968	0.673645	0.000345
969	0.654383	0.000335
970	0.635443	0.000322
971	0.616261	0.000314
972	0.596919	0.000304
973	0.577576	0.000294
974	0.557750	0.000283
975	0.537522	0.000271
976	0.517937	0.000260
977	0.497709	0.000251
978	0.477319	0.000241
979	0.456769	0.000230
980	0.436701	0.000220
981	0.415909	0.000208
982	0.395278	0.000198
983	0.374969	0.000188
984	0.354499	0.000177
985	0.333626	0.000168
986	0.312754	0.000155
987	0.291962	0.000144
988	0.271330	0.000133
989	0.250538	0.000124
990	0.229666	0.000113
991	0.208551	0.000102
992	0.187518	0.000091
993	0.166484	0.000081
994	0.145048	0.000071
995	0.124497	0.000060
996	0.103383	0.000048
997	0.082188	0.000037
998	0.061396	0.000027
999	0.039960	0.000016
1000	0.018845	0.000005
1001	-0.002349	-0.000007
1002	-0.029061	-0.000020
1003	-0.056739	-0.000034
1004	-0.083370	-0.000047
1005	-0.110323	-0.000062
1006	-0.137518	-0.000075
1007	-0.164874	-0.000089
1008	-0.191585	-0.000104
1009	-0.218941	-0.000117
1010	-0.245894	-0.000131
1011	-0.273089	-0.000145
1012	-0.300284	-0.000159
1013	-0.327720	-0.000174
1014	-0.354673	-0.000187
1015	-0.382190	-0.000202
1016	-0.409385	-0.000216
1017	-0.436660	-0.000231
1018	-0.463936	-0.000246
1019	-0.491130	-0.000260
1020	-0.518325	-0.000275
1021	-0.545761	-0.000290
1022	-0.573117	-0.000304
